100.00	352032	0	R	1	root
97.04	341614	0	R1	131567	  cellular organisms
97.03	341576	0	D	2	    Bacteria
91.20	321046	0	P	1224	      Pseudomonadota
90.39	318203	0	C	1236	        Gammaproteobacteria
90.10	317177	0	O	91347	          Enterobacterales
90.07	317068	0	F	543	            Enterobacteriaceae
84.89	298829	0	G	561	              Escherichia
84.80	298520	298520	S	562	                Escherichia coli
0.03	113	113	S	1499973	                Escherichia marmotae
0.06	195	195	S	208962	                Escherichia albertii
4.64	16327	0	G	620	              Shigella
4.64	16327	16327	S	624	                Shigella sonnei
0.42	1463	0	F1	2890311	              Klebsiella/Raoultella group
0.42	1463	0	G	570	                Klebsiella
0.42	1463	1463	S	573	                  Klebsiella pneumoniae
0.13	448	0	G	547	              Enterobacter
0.13	448	0	G1	354276	                Enterobacter cloacae complex
0.13	448	448	S	208224	                  Enterobacter kobei
0.03	109	0	F	1903411	            Yersiniaceae
0.03	104	0	G	613	              Serratia
0.03	104	104	S	615	                Serratia marcescens
0.00	4	0	G	629	              Yersinia
0.00	4	4	S	29483	                Yersinia aldovae
0.16	552	0	O	72274	          Pseudomonadales
0.16	552	0	F	135621	            Pseudomonadaceae
0.16	552	0	G	286	              Pseudomonas
0.12	409	0	G1	136843	                Pseudomonas fluorescens group
0.11	402	402	S	29442	                  Pseudomonas tolaasii
0.00	2	2	S	294	                  Pseudomonas fluorescens
0.00	4	4	S	298	                  Pseudomonas marginalis
0.04	139	0	G1	196821	                unclassified Pseudomonas
0.04	137	137	S	2892442	                  Pseudomonas sp. CIP-10
0.00	2	2	S	2908006	                  Pseudomonas sp. T1-3-2
0.00	3	0	G1	136845	                Pseudomonas putida group
0.00	3	3	S	47885	                  Pseudomonas oryzihabitans
0.07	255	0	O	135624	          Aeromonadales
0.07	255	0	F	84642	            Aeromonadaceae
0.07	255	0	G	642	              Aeromonas
0.07	255	0	G1	257493	                unclassified Aeromonas
0.07	255	255	S	2778057	                  Aeromonas sp. FDAARGOS 1408
0.04	142	0	O	135614	          Xanthomonadales
0.04	142	0	F	32033	            Xanthomonadaceae
0.04	142	0	G	40323	              Stenotrophomonas
0.00	9	0	G1	995085	                Stenotrophomonas maltophilia group
0.00	9	9	S	40324	                  Stenotrophomonas maltophilia
0.04	133	133	S	487698	                Stenotrophomonas pavanii
0.01	27	0	O	135625	          Pasteurellales
0.01	27	0	F	712	            Pasteurellaceae
0.01	27	0	G	2094023	              Glaesserella
0.01	27	27	S	738	                Glaesserella parasuis
0.01	20	0	O	135622	          Alteromonadales
0.01	18	0	F	267888	            Pseudoalteromonadaceae
0.01	18	0	G	53246	              Pseudoalteromonas
0.00	6	0	G1	194690	                unclassified Pseudoalteromonas
0.00	6	6	S	1761891	                  Pseudoalteromonas sp. 13-15
0.00	11	11	S	43659	                Pseudoalteromonas tetraodonis
0.00	2	0	F	267889	            Colwelliaceae
0.00	2	0	G	28228	              Colwellia
0.00	2	2	S	28229	                Colwellia psychrerythraea
0.00	13	0	O	2887326	          Moraxellales
0.00	13	0	F	468	            Moraxellaceae
0.00	13	0	G	475	              Moraxella
0.00	13	13	S	34062	                Moraxella osloensis
0.00	5	0	O	135623	          Vibrionales
0.00	5	0	F	641	            Vibrionaceae
0.00	5	0	G	662	              Vibrio
0.00	2	0	G1	2614977	                unclassified Vibrio
0.00	2	2	S	3021011	                  Vibrio sp. SCSIO 43137
0.00	3	3	S	52443	                Vibrio tapetis
0.00	3	0	O	135619	          Oceanospirillales
0.00	3	0	F	28256	            Halomonadaceae
0.00	3	0	G	2745	              Halomonas
0.00	3	0	G1	2609666	                unclassified Halomonas
0.00	3	3	S	2306583	                  Halomonas sp. JS92-SW72
0.00	1	0	O	135613	          Chromatiales
0.00	1	0	F	1046	            Chromatiaceae
0.00	1	0	G	53392	              Thiodictyon
0.00	1	1	S	1166950	                Candidatus Thiodictyon syntrophicum
0.00	1	0	O	118969	          Legionellales
0.00	1	0	F	444	            Legionellaceae
0.00	1	0	G	445	              Legionella
0.00	1	1	S	450	                Legionella longbeachae
0.79	2788	0	C	28216	        Betaproteobacteria
0.79	2766	0	O	80840	          Burkholderiales
0.74	2604	0	F	119060	            Burkholderiaceae
0.55	1922	0	G	47670	              Lautropia
0.55	1922	1922	S	47671	                Lautropia mirabilis
0.18	625	0	G	106589	              Cupriavidus
0.15	538	538	S	164546	                Cupriavidus taiwanensis
0.02	87	87	S	1040979	                Cupriavidus neocaledonicus
0.02	53	0	G	32008	              Burkholderia
0.02	53	0	G1	87882	                Burkholderia cepacia complex
0.02	53	53	S	87883	                  Burkholderia multivorans
0.00	2	0	G	93217	              Pandoraea
0.00	2	2	S	1891094	                Pandoraea fibrosis
0.03	100	0	F	506	            Alcaligenaceae
0.02	86	0	G	517	              Bordetella
0.02	86	86	S	520	                Bordetella pertussis
0.00	13	0	G	222	              Achromobacter
0.00	13	13	S	85698	                Achromobacter xylosoxidans
0.01	46	0	F	80864	            Comamonadaceae
0.01	46	0	G	80865	              Delftia
0.01	46	46	S	80866	                Delftia acidovorans
0.00	11	0	F	75682	            Oxalobacteraceae
0.00	11	0	G	846	              Oxalobacter
0.00	11	11	S	933080	                Oxalobacter vibrioformis
0.00	4	0	F	2975441	            Sphaerotilaceae
0.00	4	0	G	34102	              Sphaerotilus
0.00	4	4	S	639200	                Sphaerotilus sulfidivorans
0.01	20	0	O	206351	          Neisseriales
0.01	20	0	F	481	            Neisseriaceae
0.00	13	0	G	538	              Eikenella
0.00	13	13	S	539	                Eikenella corrodens
0.00	6	0	G	1193515	              Snodgrassella
0.00	6	6	S	1196083	                Snodgrassella alvi
0.00	1	0	O	1442155	          Ferrovales
0.00	1	0	F	1442156	            Ferrovaceae
0.00	1	0	G	416212	              Ferrovum
0.00	1	1	S	416213	                Ferrovum myxofaciens
0.02	54	0	C	28211	        Alphaproteobacteria
0.01	22	0	O	356	          Hyphomicrobiales
0.00	11	0	F	119045	            Methylobacteriaceae
0.00	11	0	G	407	              Methylobacterium
0.00	11	0	G1	2615210	                unclassified Methylobacterium
0.00	11	11	S	2603276	                  Methylobacterium sp. WL1
0.00	6	0	F	45401	            Hyphomicrobiaceae
0.00	6	0	G	29407	              Rhodoplanes
0.00	6	0	G1	2619116	                unclassified Rhodoplanes
0.00	6	6	S	674703	                  Rhodoplanes sp. Z2-YC6860
0.00	2	0	F	2843308	            Pleomorphomonadaceae
0.00	2	0	G	1572860	              Hartmannibacter
0.00	2	2	S	1482074	                Hartmannibacter diazotrophicus
0.00	1	0	F	82115	            Rhizobiaceae
0.00	1	0	F1	227290	              Rhizobium/Agrobacterium group
0.00	1	0	G	379	                Rhizobium
0.00	1	0	G1	2613769	                  unclassified Rhizobium
0.00	1	1	S	2849093	                    Rhizobium sp. WYJ-E13
0.00	15	0	O	204457	          Sphingomonadales
0.00	15	0	F	41297	            Sphingomonadaceae
0.00	15	0	G	13687	              Sphingomonas
0.00	15	15	S	2681549	                Sphingomonas profundi
0.00	12	0	O	204455	          Rhodobacterales
0.00	12	0	F	31989	            Paracoccaceae
0.00	12	0	G	1855413	              Brevirhabdus
0.00	12	12	S	1267768	                Brevirhabdus pacifica
0.00	2	0	O	204458	          Caulobacterales
0.00	2	0	F	76892	            Caulobacteraceae
0.00	2	0	G	20	              Phenylobacterium
0.00	2	0	G1	2640670	                unclassified Phenylobacterium
0.00	2	2	S	2903901	                  Phenylobacterium sp. LH3H17
0.00	1	0	O	204441	          Rhodospirillales
0.00	1	0	F	2813951	            Terasakiellaceae
0.00	1	0	G	196080	              Terasakiella
0.00	1	0	G1	2614952	                unclassified Terasakiella
0.00	1	1	S	2560057	                  Terasakiella sp. SH-1
0.00	1	0	O	766	          Rickettsiales
0.00	1	0	F	775	            Rickettsiaceae
0.00	1	0	G	1742636	              Candidatus Megaira
0.00	1	1	S	988779	                Candidatus Megaira polyxenophila
4.60	16188	0	D1	1783272	      Terrabacteria group
3.78	13296	0	P	1239	        Bacillota
3.36	11838	0	C	91061	          Bacilli
1.95	6864	0	O	186826	            Lactobacillales
1.44	5054	0	F	1300	              Streptococcaceae
1.44	5054	0	G	1301	                Streptococcus
0.12	438	0	G1	2608887	                  unclassified Streptococcus
0.11	388	388	S	2610896	                    Streptococcus sp. LPB0220
0.01	29	29	S	2576376	                    Streptococcus sp. 1643
0.00	5	5	S	2664091	                    Streptococcus sp. zg-86
0.00	5	5	S	1316408	                    Streptococcus sp. HSISM1
0.00	9	9	S	712623	                    Streptococcus sp. oral taxon 061
0.09	317	0	G1	119603	                  Streptococcus dysgalactiae group
0.09	317	317	S	1334	                    Streptococcus dysgalactiae
0.05	164	164	S	1318	                  Streptococcus parasanguinis
0.02	81	81	S	1307	                  Streptococcus suis
0.02	61	61	S	684066	                  Streptococcus lactarius
0.01	21	21	S	1305	                  Streptococcus sanguinis
0.01	29	29	S	1302	                  Streptococcus gordonii
0.04	131	131	S	1303	                  Streptococcus oralis
0.02	72	72	S	1433513	                  Streptococcus gwangjuense
0.06	210	210	S	1314	                  Streptococcus pyogenes
0.87	3060	3060	S	1313	                  Streptococcus pneumoniae
0.13	444	444	S	1308	                  Streptococcus thermophilus
0.00	5	5	S	1346	                  Streptococcus iniae
0.00	12	12	S	45634	                  Streptococcus cristatus
0.00	5	5	S	1825069	                  Streptococcus marmotae
0.48	1690	0	F	33958	              Lactobacillaceae
0.41	1453	0	G	2767887	                Ligilactobacillus
0.41	1453	1453	S	1624	                  Ligilactobacillus salivarius
0.04	155	0	G	2742598	                Limosilactobacillus
0.04	142	142	S	1598	                  Limosilactobacillus reuteri
0.00	5	5	S	227942	                  Limosilactobacillus gastricus
0.00	7	7	S	1633	                  Limosilactobacillus vaginalis
0.02	63	0	G	1578	                Lactobacillus
0.02	63	63	S	1596	                  Lactobacillus gasseri
0.00	11	0	G	2767885	                Latilactobacillus
0.00	11	11	S	28038	                  Latilactobacillus curvatus
0.00	7	0	G	2767842	                Lactiplantibacillus
0.00	7	7	S	1589	                  Lactiplantibacillus pentosus
0.02	72	0	F	81852	              Enterococcaceae
0.02	72	0	G	1350	                Enterococcus
0.02	72	72	S	1352	                  Enterococcus faecium
0.01	27	0	F	186827	              Aerococcaceae
0.01	27	0	G	46123	                Abiotrophia
0.01	27	27	S	46125	                  Abiotrophia defectiva
0.01	18	0	F	186828	              Carnobacteriaceae
0.00	14	0	G	117563	                Granulicatella
0.00	14	14	S	46124	                  Granulicatella adiacens
0.00	3	0	G	29393	                Dolosigranulum
0.00	3	3	S	29394	                  Dolosigranulum pigrum
1.41	4974	0	O	1385	            Bacillales
1.03	3623	0	F	186817	              Bacillaceae
1.02	3599	0	G	1386	                Bacillus
0.62	2196	0	G1	185979	                  unclassified Bacillus (in: firmicutes)
0.62	2196	2196	S	2851015	                    Bacillus sp. 7D3
0.32	1112	0	G1	86661	                  Bacillus cereus group
0.10	358	358	S	1396	                    Bacillus cereus
0.21	753	753	S	1428	                    Bacillus thuringiensis
0.08	290	0	G1	653685	                  Bacillus subtilis group
0.08	290	0	G2	1938374	                    Bacillus amyloliquefaciens group
0.08	290	290	S	492670	                      Bacillus velezensis
0.00	10	0	G	2675233	                Metabacillus
0.00	10	0	G1	2675274	                  unclassified Metabacillus
0.00	10	10	S	2745198	                    Metabacillus sp. KUDC1714
0.00	7	0	G	2800373	                Priestia
0.00	7	7	S	1404	                  Priestia megaterium
0.00	4	0	G	1221880	                Psychrobacillus
0.00	4	4	S	2283160	                  Psychrobacillus glaciei
0.00	1	0	G	175304	                Lentibacillus
0.00	1	0	G1	2614679	                  unclassified Lentibacillus
0.00	1	1	S	2518176	                    Lentibacillus sp. CBA3610
0.38	1322	0	F	90964	              Staphylococcaceae
0.36	1261	0	G	1279	                Staphylococcus
0.08	296	296	S	1286	                  Staphylococcus simulans
0.04	145	145	S	29382	                  Staphylococcus cohnii
0.21	725	725	S	1280	                  Staphylococcus aureus
0.03	95	95	S	1282	                  Staphylococcus epidermidis
0.01	43	0	G	69965	                Macrococcus
0.01	43	43	S	2875764	                  Macrococcus armenti
0.00	17	0	G	2803850	                Mammaliicoccus
0.00	17	17	S	42858	                  Mammaliicoccus lentus
0.01	27	0	O1	539002	              Bacillales incertae sedis
0.01	27	0	O2	539738	                Bacillales Family XI. Incertae Sedis
0.01	27	0	G	1378	                  Gemella
0.01	27	27	S	84135	                    Gemella sanguinis
0.35	1240	0	C	909932	          Negativicutes
0.35	1234	0	O	1843489	            Veillonellales
0.35	1234	0	F	31977	              Veillonellaceae
0.35	1231	0	G	29465	                Veillonella
0.30	1061	1061	S	29466	                  Veillonella parvula
0.01	44	0	G1	2630086	                  unclassified Veillonella
0.01	44	44	S	2682455	                    Veillonella sp. S12025-13
0.02	55	55	S	423477	                  Veillonella rogosae
0.01	48	48	S	2682456	                  Veillonella nakazawae
0.00	2	2	S	248315	                  Veillonella rodentium
0.00	12	12	S	39778	                  Veillonella dispar
0.00	6	6	S	39777	                  Veillonella atypica
0.00	2	0	G	39948	                Dialister
0.00	2	2	S	39950	                  Dialister pneumosintes
0.00	6	0	O	909929	            Selenomonadales
0.00	4	0	F	1843491	              Selenomonadaceae
0.00	4	0	G	970	                Selenomonas
0.00	4	4	S	69823	                  Selenomonas sputigena
0.00	1	0	F	1843490	              Sporomusaceae
0.00	1	0	G	2375	                Sporomusa
0.00	1	1	S	2377	                  Sporomusa termitida
0.04	131	0	C	186801	          Clostridia
0.04	131	0	O	186802	            Eubacteriales
0.03	111	0	F	186803	              Lachnospiraceae
0.03	97	0	G	1164882	                Lachnoanaerobaculum
0.03	91	91	S	2490855	                  Lachnoanaerobaculum gingivalis
0.00	5	5	S	617123	                  Lachnoanaerobaculum umeaense
0.00	8	0	G	1663717	                Herbinix
0.00	8	8	S	1679721	                  Herbinix luporum
0.00	3	0	G	28050	                Lachnospira
0.00	3	3	S	39485	                  Lachnospira eligens
0.00	2	0	G	2719313	                Enterocloster
0.00	2	2	S	333367	                  Enterocloster asparagiformis
0.00	15	0	F	186804	              Peptostreptococcaceae
0.00	10	0	G	1257	                Peptostreptococcus
0.00	10	0	G1	2652281	                  unclassified Peptostreptococcus
0.00	10	10	S	3003601	                    Peptostreptococcus sp. CBA3647
0.00	4	0	G	2743582	                Peptacetobacter
0.00	4	4	S	89152	                  Peptacetobacter hiranonis
0.00	3	0	F	186806	              Eubacteriaceae
0.00	3	0	G	1730	                Eubacterium
0.00	3	3	S	1736	                  Eubacterium limosum
0.00	1	0	F	31979	              Clostridiaceae
0.00	1	0	G	1649459	                Hungatella
0.00	1	1	S	154046	                  Hungatella hathewayi
