name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Veillonella dispar	39778	S	1	25	26	0.00010
Rhodococcus sp. ABRD24	2507582	S	9	51	60	0.00024
Gequatrovirus G4	1986034	S	6	67	73	0.00029
Prevotella herbatica	2801997	S	78	195	273	0.00107
Neisseria elongata	495	S	1	12	13	0.00005
Pseudomonas sp. PIA16	2931382	S	2	14	16	0.00006
Rothia mucilaginosa	43675	S	1	8	9	0.00004
Veillonella parvula	29466	S	137	1419	1556	0.00611
Mycobacterium tuberculosis	1773	S	1	491	492	0.00193
Veillonella rodentium	248315	S	9	58	67	0.00026
Rheinheimera sp. F8	1763998	S	1	3	4	0.00002
Salmonella enterica	28901	S	1	74839	74840	0.29378
Sediminibacterium sp. TEGAF015	575378	S	1	2	3	0.00001
Pseudoprevotella muciniphila	2133944	S	1	3	4	0.00002
Corynebacterium stationis	1705	S	1	6	7	0.00003
Delftia tsuruhatensis	180282	S	1	87	88	0.00035
Tenuifilum thalassicum	2590900	S	13	21	34	0.00013
Alphatrevirus alpha3	1945589	S	2	25	27	0.00011
Escherichia albertii	208962	S	1	551	552	0.00217
Prevotella melaninogenica	28132	S	5	26	31	0.00012
Prevotella intermedia	28131	S	2	9	11	0.00004
Prevotella oris	28135	S	153	556	709	0.00278
Hydrogenophilus thermoluteolus	297	S	2	37	39	0.00015
Thalassoglobus polymorphus	2527994	S	1	0	1	0.00000
Eikenella corrodens	539	S	2	27	29	0.00011
Schaalia odontolytica	1660	S	21	147	168	0.00066
Staphylococcus pseudintermedius	283734	S	1	177	178	0.00070
Lacibacter sp. S13-6-22	2760713	S	2	2	4	0.00002
Brenneria izadpanahii	2722756	S	1	14	15	0.00006
Candidatus Nitrosocosmicus hydrocola	1826872	S	1	0	1	0.00000
Ramlibacter tataouinensis	94132	S	1	11	12	0.00005
Polaribacter sp. KT25b	1855336	S	1	4	5	0.00002
Paenibacillus brasilensis	128574	S	1	6	7	0.00003
Phyllobacterium sp. T1293	555317	S	1	5	6	0.00002
Mycobacterium canettii	78331	S	4	178	182	0.00071
Pseudomonas tolaasii	29442	S	6	466	472	0.00185
Desulfurispirillum indicum	936456	S	1	29	30	0.00012
Calothrix sp. 336/3	1337936	S	1	0	1	0.00000
Hoylesella buccalis	28127	S	1	8	9	0.00004
Bacillus anthracis	1392	S	1	2700	2701	0.01060
Yinghuangia sp. ASG 101	2896848	S	1	7	8	0.00003
Porphyromonas asaccharolytica	28123	S	1	2	3	0.00001
Megasphaera hexanoica	1675036	S	4	55	59	0.00023
Kangiella sediminilitoris	1144748	S	4	11	15	0.00006
Gequatrovirus ID52	1910968	S	4	42	46	0.00018
Deinococcus wulumuqiensis	980427	S	1	6	7	0.00003
Equine infectious anemia virus	11665	S	1	0	1	0.00000
Streptococcus sp. LPB0220	2610896	S	1	47	48	0.00019
Megasphaera stantonii	2144175	S	5	88	93	0.00037
Gequatrovirus talmos	1910969	S	5	40	45	0.00018
Niastella koreensis	354356	S	2	2	4	0.00002
Maribacter sp. MJ134	2496865	S	2	6	8	0.00003
Megasphaera elsdenii	907	S	1	7	8	0.00003
Cloacibacterium normanense	237258	S	1	3	4	0.00002
Achromobacter sp. AONIH1	1758194	S	1	19	20	0.00008
Staphylococcus cohnii	29382	S	84	12754	12838	0.05039
Stenotrophomonas maltophilia	40324	S	1	35	36	0.00014
Cupriavidus taiwanensis	164546	S	52	1284	1336	0.00524
Egibacter rhizosphaerae	1670831	S	1	3	4	0.00002
Lautropia mirabilis	47671	S	298	3708	4006	0.01573
Xanthomonas campestris	339	S	1	7	8	0.00003
Cupriavidus neocaledonicus	1040979	S	4	93	97	0.00038
Klebsiella pneumoniae	573	S	3	13173	13176	0.05172
Peptoniphilus sp. SAHP1	2948573	S	1	100	101	0.00040
Veillonella rogosae	423477	S	8	228	236	0.00093
Micromonospora sp. WMMD712	3016096	S	1	17	18	0.00007
Mannheimia haemolytica	75985	S	1	93958	93959	0.36883
Rhizobacter gummiphilus	946333	S	1	9	10	0.00004
Mycoplasma sp. 1654_15	2725994	S	1	10	11	0.00004
Fructilactobacillus lindneri	53444	S	1	28	29	0.00011
Alphatrevirus NC28	1945585	S	3	170	173	0.00068
Alphatrevirus ID21	1945584	S	4	502	506	0.00199
Parageobacillus thermoglucosidasius	1426	S	1	15	16	0.00006
Niabella soli	446683	S	1	1	2	0.00001
Streptococcus lactarius	684066	S	1	71	72	0.00028
Sphingomonas profundi	2681549	S	1	9	10	0.00004
Variovorax paradoxus	34073	S	1	27	28	0.00011
Burkholderia pyrrocinia	60550	S	1	23	24	0.00009
Oxalobacter vibrioformis	933080	S	3	10	13	0.00005
Mycobacterium lacus	169765	S	1	4	5	0.00002
Escherichia coli	562	S	8	38105	38113	0.14961
Leuconostoc pseudomesenteroides	33968	S	1	143	144	0.00057
Mycolicibacter sp. MYC017	2875777	S	1	8	9	0.00004
Metamycoplasma salivarium	2124	S	1	3	4	0.00002
Vibrio splendidus	29497	S	1	21	22	0.00009
Oligella urethralis	90245	S	1	4	5	0.00002
Candidatus Thiodictyon syntrophicum	1166950	S	1	4	5	0.00002
Prevotella sp. oral taxon 475	712471	S	19	52	71	0.00028
Scytonema sp. HK-05	1137095	S	1	2	3	0.00001
Aeromonas sp. FDAARGOS 1408	2778057	S	4	1025	1029	0.00404
Severe acute respiratory syndrome-related coronavirus	694009	S	2702	0	2702	0.01061
Cutibacterium acnes	1747	S	7	33	40	0.00016
Haemophilus parainfluenzae	729	S	1	29	30	0.00012
Veillonella nakazawae	2682456	S	2	328	330	0.00130
Segniliparus rotundus	286802	S	1	3	4	0.00002
Treponema denticola	158	S	1	12	13	0.00005
Maribacter sp. 1_2014MBL_MicDiv	1644130	S	1	7	8	0.00003
Prevotella multiformis	282402	S	1	6	7	0.00003
Macrococcus armenti	2875764	S	12	279	291	0.00114
Veillonella atypica	39777	S	2	22	24	0.00009
Brevundimonas nasdae	172043	S	2	70	72	0.00028
Microbacterium foliorum	104336	S	3	42	45	0.00018
Candidatus Kuenenia stuttgartiensis	174633	S	1	1	2	0.00001
Prevotella bryantii	77095	S	2	8	10	0.00004
Erythrobacter neustonensis	1112	S	1	9	10	0.00004
Pseudomonas sp. CIP-10	2892442	S	2	875	877	0.00344
Acinetobacter piscicola	2006115	S	1	68	69	0.00027
Homo sapiens	9606	S	13	9	22	0.00009
Fictibacillus phosphorivorans	1221500	S	1	9	10	0.00004
Burkholderia pseudomallei	28450	S	1	163	164	0.00064
Alphabaculovirus aucalifonicae	3047383	S	1	0	1	0.00000
Prevotella copri	165179	S	39	157	196	0.00077
Actinomyces trachealis	2763540	S	1	6	7	0.00003
Staphylococcus simulans	1286	S	12	479	491	0.00193
Calothrix parasitica	1973486	S	1	1	2	0.00001
Microbacterium sp. nov. GSS16	3019890	S	1	33	34	0.00013
